股票代码,PE_TTM,PB,ROE_approx,总市值_对数,行业
003816,18.47,1.61,0.08716838115863564,26.034006764860365,未知
002938,114.05,6.53,0.05725558965366068,26.075618701942087,未知
002920,26.72,3.25,0.12163173652694612,24.621602004597005,未知
002916,68.34,14.12,0.2066139888791337,26.171874203812532,未知
002837,2180.32,22.88,0.010493872459088572,25.047467619964397,未知
002736,12.31,1.07,0.08692120227457352,25.364251326632388,未知
